Type	Engines	Range	Seats	Cruise Speed	Historic	Name	Family	Engine Type	Fuel Flow (lb/hr/eng)	Base Fuel (lb/hr/eng)	Taxi Fuel (lb/hr/eng)	P Tanks	P Pct	S Tanks	S Pct	O Tanks	MGW (lbs)	MZFW (lbs)	MTOW (lbs)	MLW (lbs)	TO Runway Length (ft)	Landing Runway Length (ft)
A220-100	2	3600	108	450	False	Bombardier/Airbus A220-100	A320	PW1500G	2500	5000	250	Left Main,Right Main	90	Center	0	    	135000	111000	134000	115600	4800	4550
A220-300	2	3800	130	450	False	Bombardier/Airbus A220-300	A320	PW1500G	2500	5000	250	Left Main,Right Main	90	Center	0	    	149000	123000	149000	122000	4800	4550
A300-200	2	3400	266	440	True	Airbus A300B4-200	B767	GE CF6-50C	5500	1500	1000	Left Main,Right Main	95	Center	0	    	364000	260000	360000	351000	9000	5000
A300-600	2	4000	266	450	False	Airbus A300-600	A300	GE CF6-80C2	5450	5000	2000	Center,Left Main,Right Main	100	    	0	    	380500	286600	378500	308600	7000	4500
A310	2	5200	240	450	True	Airbus A310-200	B767	P&W JT9D	4930	5000	2000	Left Main,Right Main	90	Center	0	Center 2,Left Aux,Right Aux	332700	251300	330700	271200	6000	4500
A318	2	3742	107	460	False	Airbus A318-100	B737	CFM56-5B8	2760	4000	1500	Left Main,Right Main	95	Center	0	    	131000	120200	131000	123500	4400	4400
A319	2	4260	124	460	False	Airbus A319-100	B737	CFM56-3C	2850	5000	2000	Left Main,Right Main	90	Center	0	    	155205	125663	154323	134481	4800	4400
A320	2	3838	150	400	False	Airbus A320-200	B737	CFM56-5A	2890	4000	1500	Left Main,Right Main	95	Center	0	Left Aux,Right Aux	167330	134481	166448	142200	5699	4000
A321	2	3685	185	450	False	Airbus A321-100	B737	CFM56-5B	3200	5000	2000	Left Main,Right Main	90	Center	0	    	207000	162700	206100	171500	4680	4900
A330-200	2	8630	253	465	False	Airbus A330-200	B767	GE CF6-80E	5610	6000	2000	Center,Left Main,Right Main	95	Left Aux,Right Aux	0	Center 2	526684	374786	524700	401241	5000	3500
A330-300	2	6736	335	465	False	A330-300	B767	GE CF6-80E1	5610	8500	2000	Left Main,Right Main	95	Center,Center 2	100	Center 2,Center 3,Left Aux,Right Aux	515656	385805	513671	412260	8000	5500
A340-200	4	7710	240	480	True	Airbus A340-200	B707	CFM56-5C	3700	5000	2500	Left Main,Right Main	95	Center	0	Center 2,Center 3,Left Aux,Right Aux	606300	424700	606300	399000	6000	5000
A340-300	4	8521	295	430	False	Airbus A340-300	B707	CFM56-5C4	3700	5000	2500	Left Main,Right Main	90	Center	0	Center 2,Center 3,Left Aux,Right Aux	608300	403300	606000	423000	6000	6000
A340-500	4	10357	313	465	False	Airbus A340-500	A345	RR Trent 500	5275	6000	2500	Center,Left Main,Right Main	90	Center 2,Left Aux,Right Aux	100	    	821000	506900	820100	535700	6000	7000
A340-600	4	9091	380	465	False	Airbus A340-600	B707	RR Trent 556	5775	6000	2500	Center,Left Main,Right Main	0	    	0	    	813900	540000	811300	571000	8500	6905
A350-900	2	8700	325	487	False	Airbus A350 XWB	A350	Trent XWB-84	9500	8000	500	Center,Left Main,Right Main	95	    	100	    	609000	432000	607000	457000	9000	4500
