IATA,ICAO,Name,Latitude,Longitude,UTC Offset (s),Max Runway Length (ft),Airlines
BOO,ENBO,Bodø Norway,67.2692,14.3653,3600,11103,
OSY,ENNM,Namsos Norway,64.4719,11.5783,3600,2741,
CZX,ZSCG,Changzhou China,31.9181,119.777,28800,11155,
KDI,WAWW,Kendari Indonesia,-4.0817,122.418,28800,6890,
YAM,CYAM,Sault Ste. Marie ON Canada,46.485,-84.5094,-21600,6144,NCA
AAL,EKYT,Aalborg Denmark,57.0928,9.8489,3600,8689,KL
AAR,EKAH,Aarhus Denmark,56.3,10.6189,3600,9088,
ABD,OIAA,Abadan Iran,30.3706,48.2278,12600,10263,KLD
ABA,UNAA,Abakan Russia,53.74,91.385,25200,10648,SUD
YXX,CYXX,Abbotsford BC Canada,49.025,-122.36,-28800,9613,"WS,WSH"
ABR,KABR,Aberdeen SD,45.4489,-98.4217,-21600,6893,"DL,NCA"
ABZ,EGPD,Aberdeen United Kingdom,57.2042,-2.1978,0,6404,"AF,KL,VS"
AHB,OEAB,Abha Saudi Arabia,18.2403,42.6564,10800,11006,SV
ABJ,DIAP,Abidjan Cote D'Ivoire,5.2592,-3.9264,0,9896,"AF,KLD,ME,PAH"
VJI,KVJI,Abingdon VA,36.6869,-82.0331,0,4569,
AUH,OMAA,Abu Dhabi United Arab Emirates,24.4325,54.65,14400,13475,"AZ,KLD,KL,ME,SV"
ABV,DNAA,Abuja Nigeria,9.0067,7.2631,3600,11848,"AF,DVH"
AEH,FTTC,Abéché Chad,13.8469,20.8489,3600,9236,
ACA,MMAA,Acapulco Mexico,16.7564,-99.7531,-21600,10833,"AM,DVH,WAH"
ACC,DGAA,Accra Ghana,5.605,-0.1667,0,11391,"DL,KLD,KL,ME,PAH"
ADK,PADK,Adak AK,51.8781,-176.646,-36000,7775,
ADA,LTAF,Adana Turkey,36.9819,35.28,10800,8985,
ADD,HAAB,Addis Ababa Ethiopia,8.9772,38.7992,10800,12428,"KQD,KQ,SV"
ADL,YPAD,Adelaide Australia,-34.9442,138.5308,37800,10183,"VA,VAH"
ADE,OYAA,Aden Yemen,12.8292,45.03,10800,10141,
AZR,DAUA,Adrar Algeria,27.8392,-0.1853,3600,9856,
AJY,DRZA,Agades Niger,16.9631,7.9917,3600,9853,
AGA,GMAD,Agadir Morocco,30.3225,-9.4114,0,10516,
AGF,LFBA,Agen France,44.1747,0.5906,3600,7095,
BQN,TJBQ,Aguadilla PR,18.4942,-67.1289,-18000,11732,DVH
AGU,MMAS,Aguascalientes Mexico,21.7053,-102.318,-21600,9918,"AM,NW"
AHE,NTHE,Ahe French Polynesia,-14.4275,-146.255,-39600,4068,
AMD,VAAH,Ahemdabad India,23.0708,72.6264,19800,11547,JAD
AEO,GQNA,Aioun El Atrouss Mauritania,16.7111,-9.6378,0,2500,
AJA,LFKJ,Ajaccio France,41.9233,8.8028,3600,7905,AF
AKE,FOGA,Akieni Gabon,-1.1292,13.9206,3600,2500,
AXT,RJSK,Akita Japan,39.6156,140.219,32400,8200,KE
